,class
287,cat
288,dog
289,cat
290,dog
291,dog
292,cat
293,cat
294,dog
295,dog
296,dog
297,cat
298,cat
299,cat
300,cat
301,dog
302,dog
303,cat
304,cat
305,dog
306,dog
307,cat
308,cat
309,cat
310,dog
311,cat
312,cat
313,dog
314,cat
315,cat
316,dog
317,dog
318,dog
319,dog
320,dog
321,cat
322,cat
323,cat
324,dog
325,cat
326,cat
327,dog
328,cat
329,dog
330,cat
331,cat
332,cat
333,dog
334,dog
335,cat
336,cat
337,cat
338,dog
339,cat
340,dog
341,cat
342,dog
343,dog
344,dog
345,dog
346,cat
347,cat
348,dog
349,dog
350,cat
351,cat
352,dog
353,dog
354,dog
355,dog
356,dog
357,cat
358,cat
359,cat
360,dog
361,dog
362,dog
363,dog
364,dog
365,cat
366,dog
367,dog
368,cat
369,dog
370,cat
371,cat
372,cat
373,dog
374,dog
375,dog
376,dog
377,cat
378,cat
379,cat
380,cat
381,dog
382,dog
383,cat
384,dog
385,cat
386,dog
387,dog
388,cat
389,dog
390,dog
391,dog
392,cat
393,dog
394,cat
395,cat
396,cat
397,dog
398,cat
399,cat
400,dog
401,cat
402,dog
403,dog
404,cat
405,cat
406,cat
407,cat
408,dog
409,cat
410,dog
411,dog
412,dog
413,cat
414,cat
415,dog
416,dog
417,dog
418,cat
419,cat
420,dog
421,cat
422,cat
423,cat
424,dog
425,dog
426,dog
427,dog
428,cat
429,dog
430,dog
431,dog
432,cat
433,dog
434,cat
435,dog
436,cat
437,dog
438,dog
439,cat
440,cat
441,cat
442,cat
443,dog
444,cat
445,cat
446,dog
447,cat
448,dog
449,dog
450,cat
451,cat
452,dog
453,cat
454,cat
455,cat
456,cat
457,dog
458,dog
459,cat
460,cat
461,cat
462,cat
463,cat
464,dog
465,cat
466,cat
467,cat
468,cat
469,dog
470,dog
471,dog
472,dog
473,dog
474,cat
475,dog
476,dog
477,cat
478,dog
479,dog
480,dog
481,cat
482,dog
483,cat
484,dog
485,dog
486,dog
487,dog
488,dog
489,dog
490,dog
491,dog
492,cat
493,cat
494,cat
495,cat
496,dog
497,dog
498,dog
499,cat
500,cat
501,dog
502,dog
503,dog
504,cat
505,cat
506,dog
507,cat
508,cat
509,dog
510,dog
511,cat
512,dog
513,cat
514,cat
515,cat
516,cat
517,cat
518,dog
519,dog
520,dog
521,dog
522,cat
523,cat
524,cat
525,cat
526,cat
527,cat
528,cat
529,dog
530,dog
531,cat
532,dog
533,cat
534,dog
535,dog
536,dog
537,dog
538,cat
539,cat
540,cat
541,dog
542,dog
543,cat
544,dog
545,dog
546,dog
547,cat
548,dog
549,cat
550,cat
551,cat
552,dog
553,cat
554,dog
555,dog
556,cat
557,dog
558,dog
559,cat
560,dog
561,dog
562,dog
563,dog
564,dog
565,dog
566,cat
567,cat
568,cat
569,dog
570,dog
571,dog
572,cat
573,cat
574,cat
575,dog
576,cat
577,dog
578,dog
579,dog
580,cat
581,dog
582,dog
583,cat
584,dog
585,dog
586,dog
587,dog
588,dog
589,cat
590,cat
591,cat
592,dog
593,cat
594,dog
595,cat
596,cat
597,dog
598,cat
599,cat
600,dog
601,cat
602,dog
603,dog
604,dog
605,dog
606,cat
607,cat
608,dog
609,cat
610,cat
611,cat
612,dog
613,dog
614,cat
615,dog
616,dog
617,cat
618,dog
619,dog
620,cat
621,dog
622,cat
623,dog
624,dog
625,dog
626,dog
627,dog
628,dog
629,dog
630,dog
631,dog
632,dog
633,dog
634,dog
635,dog
636,dog
637,cat
638,dog
639,dog
640,cat
641,cat
642,cat
643,cat
644,dog
645,dog
646,cat
647,dog
648,dog
649,dog
650,cat
651,dog
652,dog
653,dog
654,cat
655,dog
656,dog
657,cat
658,dog
659,cat
660,dog
661,dog
662,dog
663,dog
664,dog
665,dog
666,cat
667,dog
668,dog
669,dog
670,cat
671,dog
672,dog
673,dog
674,cat
675,dog
676,cat
677,dog
678,cat
679,dog
680,dog
681,cat
682,dog
683,cat
684,dog
685,dog
686,cat
687,cat
688,dog
689,cat
690,dog
691,cat
692,cat
693,cat
694,cat
695,cat
696,cat
697,cat
698,dog
699,cat
700,cat
701,cat
702,dog
703,cat
704,cat
705,cat
706,dog
707,dog
708,cat
709,cat
710,dog
711,cat
712,cat
713,dog
714,cat
715,dog
716,dog
717,dog
718,cat
719,dog
720,dog
721,dog
722,dog
723,dog
724,cat
725,dog
726,cat
727,dog
728,cat
729,cat
730,cat
731,cat
732,dog
733,cat
734,dog
735,dog
736,dog
737,cat
738,dog
739,cat
740,cat
741,cat
742,cat
743,dog
744,dog
745,cat
746,cat
747,dog
748,cat
749,cat
750,cat
751,dog
752,cat
753,cat
754,dog
755,dog
756,dog
757,cat
758,dog
759,dog
760,cat
761,cat
762,dog
763,dog
764,dog
765,dog
766,dog
767,dog
768,dog
769,cat
770,cat
771,cat
772,dog
773,dog
774,cat
775,dog
776,dog
777,dog
778,cat
779,dog
780,cat
781,dog
782,cat
783,dog
784,cat
785,dog
786,dog
787,dog
788,dog
789,dog
790,dog
791,dog
792,dog
793,dog
794,dog
795,dog
796,cat
797,cat
798,dog
799,dog
800,dog
801,cat
802,dog
803,dog
804,dog
805,cat
806,dog
807,dog
808,dog
809,dog
810,dog
811,cat
812,cat
813,cat
814,cat
815,dog
816,dog
817,dog
818,cat
819,dog
820,dog
821,dog
822,dog
823,dog
824,dog
825,dog
826,cat
827,dog
828,dog
829,dog
830,dog
831,cat
832,cat
833,cat
834,cat
835,cat
836,dog
837,dog
838,cat
839,cat
840,dog
841,cat
842,dog
843,dog
844,cat
845,dog
846,cat
847,cat
848,cat
849,cat
850,cat
851,cat
852,cat
853,dog
854,dog
855,dog
856,dog
857,dog
858,dog
859,dog
860,dog
861,cat
862,dog
863,cat
864,cat
865,cat
866,dog
867,cat
868,cat
869,cat
870,cat
871,cat
872,dog
873,cat
874,cat
875,dog
876,cat
877,dog
878,dog
879,dog
880,dog
881,cat
882,cat
883,dog
884,cat
885,dog
886,dog
887,cat
888,cat
889,cat
890,cat
891,dog
892,dog
893,cat
894,dog
895,cat
896,cat
897,dog
898,dog
899,dog
900,cat
901,dog
902,cat
903,dog
904,dog
905,dog
906,cat
907,cat
908,cat
909,cat
910,dog
911,cat
912,dog
913,dog
914,dog
915,dog
916,dog
917,dog
918,cat
919,cat
920,dog
921,dog
922,cat
923,dog
924,dog
925,dog
926,cat
927,dog
928,cat
929,dog
930,dog
931,cat
932,dog
933,dog
934,dog
935,cat
936,cat
937,cat
938,cat
939,dog
940,cat
941,dog
942,dog
943,cat
944,dog
945,dog
946,cat
947,dog
948,cat
949,dog
950,cat
951,dog
952,dog
953,dog
954,cat
955,dog
956,dog
957,dog
958,dog
959,cat
960,dog
961,cat
962,dog
963,dog
964,cat
965,dog
966,cat
967,cat
968,dog
969,cat
970,cat
971,cat
972,cat
973,cat
974,cat
975,dog
976,dog
977,cat
978,cat
979,dog
980,cat
981,cat
982,dog
983,dog
984,dog
985,cat
986,cat
987,cat
988,cat
989,dog
990,cat
991,dog
992,dog
993,dog
994,dog
995,cat
996,cat
997,dog
998,dog
999,cat
1000,dog
1001,dog
1002,dog
1003,dog
1004,dog
1005,dog
1006,dog
1007,dog
1008,dog
1009,dog
1010,dog
1011,dog
1012,cat
1013,dog
1014,dog
1015,cat
1016,dog
1017,dog
1018,dog
1019,dog
1020,cat
1021,dog
1022,cat
1023,cat
1024,dog
1025,dog
1026,dog
1027,dog
1028,cat
1029,cat
1030,dog
1031,dog
1032,dog
1033,cat
1034,cat
1035,cat
1036,dog
1037,dog
1038,dog
1039,dog
1040,dog
1041,cat
1042,dog
1043,dog
1044,cat
1045,dog
1046,dog
1047,dog
1048,dog
1049,dog
1050,cat
1051,dog
1052,dog
1053,cat
1054,dog
1055,cat
1056,dog
1057,dog
1058,dog
1059,cat
1060,dog
1061,dog
1062,cat
1063,cat
1064,cat
1065,cat
1066,dog
1067,cat
1068,dog
1069,dog
1070,cat
1071,cat
1072,cat
1073,dog
1074,cat
1075,cat
1076,dog
1077,cat
1078,dog
1079,dog
1080,cat
1081,cat
1082,cat
1083,cat
1084,dog
1085,dog
1086,cat
1087,cat
1088,cat
1089,cat
1090,dog
1091,cat
1092,cat
1093,cat
1094,dog
1095,dog
1096,dog
1097,dog
1098,cat
1099,cat
1100,dog
1101,cat
1102,cat
1103,dog
1104,dog
1105,cat
1106,dog
1107,dog
1108,cat
1109,dog
1110,cat
1111,dog
1112,cat
1113,cat
1114,dog
1115,dog
1116,dog
1117,cat
1118,dog
1119,cat
1120,cat
1121,dog
1122,dog
1123,dog
1124,dog
1125,dog
1126,cat
1127,dog
1128,cat
1129,dog
1130,dog
1131,cat
1132,dog
1133,dog
1134,dog
1135,cat
1136,dog
1137,cat
1138,dog
1139,dog
1140,cat
1141,dog
1142,dog
1143,cat
1144,cat
1145,dog
1146,cat
1147,dog
1148,cat
1149,dog
1150,cat
1151,cat
1152,dog
1153,cat
1154,dog
1155,dog
1156,dog
1157,cat
1158,cat
1159,cat
1160,dog
1161,dog
1162,dog
1163,dog
1164,dog
1165,cat
1166,dog
1167,dog
1168,dog
1169,dog
1170,dog
1171,dog
1172,dog
1173,cat
1174,dog
1175,dog
1176,cat
1177,cat
1178,dog
1179,cat
1180,cat
1181,dog
1182,cat
1183,cat
1184,dog
1185,dog
1186,cat
1187,dog
1188,dog
1189,dog
1190,cat
1191,dog
1192,cat
1193,dog
1194,dog
1195,cat
1196,dog
1197,cat
1198,cat
1199,cat
1200,cat
1201,cat
1202,dog
1203,dog
1204,dog
1205,dog
1206,cat
1207,cat
1208,cat
1209,dog
1210,dog
1211,cat
1212,cat
1213,dog
1214,cat
1215,dog
1216,cat
1217,dog
1218,dog
1219,cat
1220,cat
1221,cat
1222,dog
1223,dog
1224,cat
1225,dog
1226,cat
1227,dog
1228,dog
1229,cat
1230,cat
1231,dog
1232,dog
1233,dog
1234,dog
1235,cat
1236,cat
1237,cat
1238,cat
1239,dog
1240,dog
1241,cat
1242,dog
1243,dog
1244,cat
1245,dog
1246,cat
1247,cat
1248,cat
1249,dog
1250,dog
1251,cat
1252,dog
1253,cat
1254,dog
1255,dog
1256,cat
1257,dog
1258,cat
1259,cat
1260,cat
1261,dog
1262,dog
1263,cat
1264,dog
1265,cat
1266,cat
1267,cat
1268,dog
1269,dog
1270,dog
1271,dog
1272,dog
1273,dog
1274,dog
1275,cat
1276,dog
1277,cat
1278,dog
1279,dog
1280,dog
1281,dog
1282,cat
1283,dog
1284,dog
1285,dog
1286,dog
1287,dog
1288,cat
1289,dog
1290,dog
1291,dog
1292,dog
1293,cat
1294,dog
1295,cat
1296,cat
1297,dog
1298,dog
1299,cat
1300,cat
1301,cat
1302,dog
1303,cat
1304,dog
1305,cat
1306,cat
1307,dog
1308,dog
1309,dog
1310,dog
1311,dog
1312,dog
1313,dog
1314,cat
1315,dog
1316,dog
1317,dog
1318,cat
1319,cat
1320,dog
1321,dog
1322,cat
1323,dog
1324,dog
1325,cat
1326,cat
1327,dog
1328,cat
1329,dog
1330,cat
1331,dog
1332,cat
1333,dog
1334,dog
1335,cat
1336,cat
1337,dog
1338,dog
1339,dog
1340,dog
1341,cat
1342,dog
1343,dog
1344,cat
1345,dog
1346,cat
1347,cat
1348,dog
1349,dog
1350,dog
1351,dog
1352,cat
1353,cat
1354,cat
1355,dog
1356,dog
1357,dog
1358,cat
1359,dog
1360,dog
1361,cat
1362,dog
1363,dog
1364,dog
1365,dog
1366,cat
1367,dog
1368,cat
1369,dog
1370,cat
1371,dog
1372,dog
1373,cat
1374,cat
1375,cat
1376,dog
1377,cat
1378,dog
1379,dog
1380,dog
1381,cat
1382,cat
1383,dog
1384,dog
1385,cat
1386,dog
1387,dog
1388,cat
1389,dog
1390,dog
1391,dog
1392,cat
1393,dog
1394,cat
1395,dog
1396,dog
1397,dog
1398,cat
1399,dog
1400,dog
1401,dog
1402,dog
1403,cat
1404,cat
1405,dog
1406,dog
1407,cat
1408,dog
1409,dog
1410,dog
1411,cat
1412,cat
1413,dog
1414,cat
1415,cat
1416,cat
1417,dog
1418,dog
1419,dog
1420,cat
1421,cat
1422,dog
1423,dog
1424,dog
1425,cat
1426,cat
1427,dog
1428,cat
1429,dog
1430,dog
1431,cat
1432,dog
1433,dog
1434,cat
1435,cat
1436,dog
1437,dog
1438,cat
1439,cat
1440,dog
1441,dog
1442,cat
1443,cat
1444,dog
1445,cat
1446,dog
1447,dog
1448,dog
1449,dog
1450,cat
1451,dog
1452,dog
1453,cat
1454,dog
1455,dog
1456,cat
1457,dog
1458,dog
1459,dog
1460,dog
1461,dog
1462,dog
1463,cat
1464,dog
1465,cat
1466,dog
1467,cat
1468,cat
1469,dog
1470,cat
1471,dog
1472,dog
1473,dog
1474,cat
1475,dog
1476,dog
1477,dog
1478,cat
1479,cat
1480,dog
1481,cat
1482,cat
1483,dog
1484,dog
1485,dog
1486,dog
1487,dog
1488,cat
1489,dog
1490,dog
1491,dog
1492,cat
1493,dog
1494,cat
1495,dog
1496,dog
1497,dog
1498,cat
1499,dog
1500,dog
1501,dog
1502,dog
1503,cat
1504,cat
1505,cat
1506,dog
1507,cat
1508,cat
1509,cat
1510,dog
1511,cat
1512,dog
1513,cat
1514,dog
1515,dog
1516,cat
1517,cat
1518,dog
1519,cat
1520,cat
1521,dog
1522,cat
1523,cat
1524,cat
1525,dog
1526,dog
1527,dog
1528,cat
1529,cat
1530,cat
1531,cat
1532,cat
1533,cat
1534,cat
1535,cat
1536,cat
1537,dog
1538,dog
1539,dog
1540,dog
1541,cat
1542,dog
1543,dog
1544,dog
1545,cat
1546,dog
1547,dog
1548,cat
1549,dog
1550,dog
1551,cat
1552,dog
1553,dog
1554,dog
1555,dog
1556,dog
1557,dog
1558,dog
1559,cat
1560,cat
1561,dog
1562,dog
1563,cat
1564,cat
1565,cat
1566,dog
1567,dog
1568,dog
1569,cat
1570,cat
1571,dog
1572,dog
1573,dog
1574,dog
1575,cat
1576,cat
1577,dog
1578,dog
1579,dog
1580,dog
1581,cat
1582,dog
1583,cat
1584,dog
1585,dog
1586,cat
1587,cat
1588,dog
1589,dog
1590,dog
1591,dog
1592,dog
1593,dog
1594,cat
1595,cat
1596,cat
1597,cat
1598,dog
1599,cat
1600,dog
1601,dog
1602,dog
1603,dog
1604,cat
1605,dog
1606,dog
1607,dog
1608,cat
1609,dog
1610,cat
1611,cat
1612,dog
1613,dog
1614,dog
1615,dog
1616,dog
1617,dog
1618,dog
1619,cat
1620,dog
1621,cat
1622,cat
1623,dog
1624,dog
1625,dog
1626,cat
1627,dog
1628,dog
1629,cat
1630,dog
1631,cat
1632,cat
1633,cat
1634,dog
1635,dog
1636,dog
1637,dog
1638,dog
1639,dog
1640,dog
1641,cat
1642,cat
1643,dog
1644,cat
1645,cat
1646,cat
1647,cat
1648,cat
1649,cat
1650,cat
1651,dog
1652,dog
1653,cat
1654,dog
1655,dog
1656,dog
1657,cat
1658,dog
1659,dog
1660,cat
1661,cat
1662,cat
1663,cat
1664,cat
1665,dog
1666,dog
1667,cat
1668,dog
1669,cat
1670,cat
1671,cat
1672,dog
1673,cat
1674,cat
1675,cat
1676,cat
1677,dog
1678,dog
1679,cat
1680,dog
1681,dog
1682,cat
1683,cat
1684,dog
1685,dog
1686,cat
1687,dog
1688,dog
1689,cat
1690,cat
1691,dog
1692,cat
1693,dog
1694,dog
1695,dog
1696,cat
1697,dog
1698,dog
1699,cat
1700,dog
1701,cat
1702,cat
1703,cat
1704,dog
1705,cat
1706,cat
1707,dog
1708,cat
1709,dog
1710,dog
1711,dog
1712,cat
1713,dog
1714,dog
1715,cat
1716,cat
1717,dog
1718,cat
1719,cat
1720,dog
1721,cat
1722,cat
1723,dog
1724,cat
1725,dog
1726,dog
1727,dog
1728,dog
1729,dog
1730,dog
1731,dog
1732,cat
1733,cat
1734,dog
1735,cat
1736,dog
1737,cat
1738,cat
1739,dog
1740,cat
1741,cat
1742,cat
1743,cat
1744,dog
1745,cat
1746,dog
1747,dog
1748,dog
1749,cat
1750,cat
1751,cat
1752,cat
1753,dog
1754,dog
1755,cat
1756,cat
1757,dog
1758,dog
1759,dog
1760,cat
1761,cat
1762,cat
1763,dog
1764,dog
1765,dog
1766,cat
1767,cat
1768,dog
1769,cat
1770,cat
1771,cat
1772,cat
1773,dog
1774,dog
1775,cat
1776,cat
1777,cat
1778,dog
1779,cat
1780,cat
1781,cat
1782,dog
1783,dog
1784,dog
1785,dog
1786,dog
1787,cat
1788,dog
1789,cat
1790,cat
1791,dog
1792,dog
1793,dog
1794,cat
1795,cat
1796,dog
1797,cat
1798,cat
1799,cat
1800,dog
1801,cat
1802,cat
1803,dog
1804,cat
1805,cat
1806,cat
1807,dog
1808,cat
1809,dog
1810,dog
1811,dog
1812,dog
1813,dog
1814,cat
1815,dog
1816,dog
1817,cat
1818,cat
1819,cat
1820,dog
1821,cat
1822,cat
1823,cat
1824,cat
1825,cat
1826,dog
1827,cat
1828,dog
1829,dog
1830,cat
1831,dog
1832,dog
1833,dog
1834,dog
1835,dog
1836,cat
1837,dog
1838,dog
1839,cat
1840,cat
1841,dog
1842,dog
1843,dog
1844,dog
1845,dog
1846,cat
1847,dog
1848,dog
1849,dog
1850,dog
1851,dog
1852,dog
1853,dog
1854,cat
1855,dog
1856,cat
1857,dog
1858,dog
1859,dog
1860,dog
1861,cat
1862,dog
1863,dog
1864,cat
1865,cat
1866,dog
1867,dog
1868,cat
1869,cat
1870,cat
1871,dog
1872,cat
1873,cat
1874,dog
1875,cat
1876,dog
1877,cat
1878,dog
1879,cat
1880,dog
1881,dog
1882,cat
1883,cat
1884,cat
1885,dog
1886,cat
1887,dog
1888,dog
1889,cat
1890,dog
1891,cat
1892,dog
1893,cat
1894,cat
1895,cat
1896,cat
1897,cat
1898,dog
1899,dog
1900,dog
1901,cat
1902,dog
1903,dog
1904,dog
1905,cat
1906,cat
1907,dog
1908,dog
1909,dog
1910,cat
1911,dog
1912,dog
1913,cat
1914,cat
1915,dog
1916,cat
1917,dog
1918,dog
1919,cat
1920,dog
1921,cat
1922,cat
1923,cat
1924,dog
1925,dog
1926,dog
1927,dog
1928,dog
1929,dog
1930,dog
1931,dog
1932,cat
1933,dog
1934,cat
1935,dog
1936,dog
1937,dog
1938,dog
1939,cat
1940,cat
1941,cat
1942,cat
1943,cat
1944,cat
1945,cat
1946,dog
1947,dog
1948,cat
1949,cat
1950,dog
1951,dog
1952,cat
1953,cat
1954,dog
1955,dog
1956,dog
1957,dog
1958,cat
1959,dog
1960,dog
1961,cat
1962,dog
1963,dog
1964,dog
1965,dog
1966,dog
1967,cat
1968,cat
1969,cat
1970,dog
1971,cat
1972,dog
1973,dog
1974,dog
1975,dog
1976,dog
1977,cat
1978,dog
1979,cat
1980,dog
1981,dog
1982,dog
1983,dog
1984,cat
1985,dog
1986,dog
1987,cat
1988,dog
1989,cat
1990,dog
1991,dog
1992,dog
1993,dog
1994,dog
1995,cat
1996,cat
1997,dog
1998,cat
1999,cat
2000,cat
2001,dog
2002,dog
2003,dog
2004,dog
2005,dog
2006,cat
2007,cat
2008,dog
2009,dog
2010,dog
2011,cat
2012,cat
2013,dog
2014,dog
2015,dog
2016,dog
2017,dog
2018,cat
2019,dog
2020,dog
2021,dog
2022,cat
2023,dog
2024,cat
2025,dog
2026,dog
2027,dog
2028,dog
2029,dog
2030,dog
2031,dog
2032,dog
2033,dog
2034,dog
2035,dog
2036,cat
2037,cat
2038,dog
2039,dog
2040,dog
2041,dog
2042,dog
2043,dog
2044,dog
2045,dog
2046,dog
2047,dog
2048,dog
2049,dog
2050,cat
2051,dog
2052,dog
2053,cat
2054,dog
2055,cat
2056,cat
2057,dog
2058,cat
2059,dog
2060,dog
2061,dog
2062,cat
2063,cat
2064,dog
2065,cat
2066,cat
2067,cat
2068,cat
2069,dog
2070,cat
2071,dog
2072,dog
2073,dog
2074,dog
2075,cat
2076,cat
2077,dog
2078,cat
2079,dog
2080,cat
2081,dog
2082,cat
2083,cat
2084,cat
2085,dog
2086,cat
2087,dog
2088,dog
2089,dog
2090,dog
2091,cat
2092,cat
2093,cat
2094,cat
2095,dog
2096,dog
2097,cat
2098,dog
2099,cat
2100,cat
2101,cat
2102,cat
2103,cat
2104,cat
2105,dog
2106,dog
2107,dog
2108,dog
2109,cat
2110,dog
2111,cat
2112,cat
2113,dog
2114,cat
2115,dog
2116,dog
2117,dog
2118,cat
2119,dog
2120,cat
2121,dog
2122,dog
2123,cat
2124,cat
2125,dog
2126,dog
2127,cat
2128,dog
2129,cat
2130,cat
2131,dog
2132,cat
2133,dog
2134,dog
2135,cat
2136,cat
2137,dog
2138,dog
2139,dog
2140,dog
2141,cat
2142,cat
2143,cat
2144,dog
2145,dog
2146,dog
2147,cat
2148,dog
2149,cat
2150,dog
2151,cat
2152,dog
2153,dog
2154,cat
2155,dog
2156,dog
2157,cat
2158,cat
2159,dog
2160,dog
2161,cat
2162,cat
2163,dog
2164,cat
2165,dog
2166,cat
2167,cat
2168,cat
2169,dog
2170,cat
2171,dog
2172,dog
2173,dog
2174,dog
2175,dog
2176,dog
2177,dog
2178,dog
2179,cat
2180,dog
2181,dog
2182,dog
2183,cat
2184,cat
2185,dog
2186,dog
2187,cat
2188,dog
2189,cat
2190,dog
2191,dog
2192,dog
2193,dog
2194,dog
2195,cat
2196,dog
2197,dog
2198,cat
2199,dog
2200,dog
2201,dog
2202,cat
2203,dog
2204,cat
2205,dog
2206,cat
2207,dog
2208,dog
2209,dog
2210,dog
2211,dog
2212,cat
2213,cat
2214,dog
2215,dog
2216,dog
2217,cat
2218,dog
2219,cat
2220,dog
2221,dog
2222,dog
2223,dog
2224,dog
2225,cat
2226,dog
2227,cat
2228,dog
2229,dog
2230,cat
2231,cat
2232,dog
2233,dog
2234,dog
2235,cat
2236,dog
2237,dog
2238,dog
2239,cat
2240,dog
2241,dog
2242,dog
2243,dog
2244,dog
2245,dog
2246,cat
2247,cat
2248,cat
2249,cat
2250,dog
2251,dog
2252,dog
2253,dog
2254,dog
2255,dog
2256,cat
2257,dog
2258,cat
2259,cat
2260,dog
2261,cat
2262,cat
2263,dog
2264,cat
2265,dog
2266,cat
2267,cat
2268,dog
2269,dog
2270,cat
2271,dog
2272,cat
2273,dog
2274,dog
2275,cat
2276,cat
2277,dog
2278,cat
2279,dog
2280,cat
2281,dog
2282,cat
2283,dog
2284,dog
2285,cat
2286,dog
2287,dog
2288,dog
2289,dog
2290,cat
2291,cat
2292,dog
2293,dog
2294,dog
2295,dog
2296,dog
2297,dog
2298,cat
2299,cat
2300,cat
2301,dog
2302,cat
2303,dog
2304,cat
2305,cat
2306,cat
2307,cat
2308,dog
2309,dog
2310,dog
2311,cat
2312,cat
2313,dog
2314,cat
2315,dog
2316,cat
2317,dog
2318,cat
2319,cat
2320,cat
2321,dog
2322,cat
2323,dog
2324,dog
2325,cat
2326,dog
2327,cat
2328,dog
2329,cat
2330,cat
2331,cat
2332,dog
2333,cat
2334,dog
2335,cat
2336,dog
2337,dog
2338,cat
2339,cat
2340,cat
2341,cat
2342,cat
2343,cat
2344,cat
2345,dog
2346,cat
2347,dog
2348,dog
2349,cat
2350,dog
2351,dog
2352,dog
2353,dog
2354,cat
2355,dog
2356,dog
2357,cat
2358,cat
2359,cat
2360,dog
2361,dog
2362,dog
2363,cat
2364,cat
2365,dog
2366,cat
2367,dog
2368,cat
2369,cat
2370,cat
2371,cat
2372,dog
2373,cat
2374,dog
2375,dog
2376,cat
2377,cat
2378,cat
2379,cat
2380,dog
2381,dog
2382,dog
2383,cat
2384,cat
2385,dog
2386,cat
2387,dog
2388,dog
2389,dog
2390,dog
2391,dog
2392,dog
2393,dog
2394,cat
2395,cat
2396,dog
2397,cat
2398,dog
2399,dog
2400,dog
2401,cat
2402,dog
2403,dog
2404,dog
2405,cat
2406,cat
2407,dog
2408,cat
2409,dog
2410,cat
2411,dog
2412,cat
2413,cat
2414,dog
2415,dog
2416,cat
2417,dog
2418,dog
2419,dog
2420,dog
2421,cat
2422,dog
2423,dog
2424,dog
2425,dog
2426,dog
2427,cat
2428,dog
2429,dog
2430,dog
2431,cat
2432,dog
2433,cat
2434,dog
2435,dog
2436,dog
2437,cat
2438,dog
2439,dog
2440,dog
2441,cat
2442,cat
2443,dog
2444,cat
2445,cat
2446,dog
2447,cat
2448,cat
2449,dog
2450,cat
2451,cat
2452,cat
2453,cat
2454,dog
2455,dog
2456,dog
2457,dog
2458,cat
2459,cat
2460,dog
2461,dog
2462,cat
2463,dog
2464,dog
2465,cat
2466,dog
2467,cat
2468,cat
2469,dog
2470,cat
2471,dog
2472,cat
2473,dog
2474,cat
2475,dog
2476,dog
2477,dog
2478,cat
2479,dog
2480,dog
2481,dog
2482,dog
2483,dog
2484,cat
2485,cat
2486,dog
2487,dog
2488,dog
2489,dog
2490,cat
2491,dog
2492,dog
2493,cat
2494,dog
2495,cat
2496,cat
2497,cat
2498,dog
